R#,NAME,TOTAL,POS,TEAM,GP,TOI,GOA,AST,PIM,BLK,SHP,SAV,GA,SHU,WIN
47,Beckett Sennecke,179.4,RW,ANA,83,18.1,32,36,56,42,0,,0,,
48,Logan Cooley,179.1,C,UTA,83,17.9,31,39,39,48,1,,0,,
49,Tom Wilson,177.3,RW,WAS,76,18.9,27,28,94,77,2,,0,,
50,Matthew Tkachuk,177.3,LWRW,FLA,73,18,28,45,60,26,0,,0,,
51,Moritz Seider,177.3,D,DET,84,25.7,12,47,53,183,0,,0,,
52,Lucas Raymond,177,RW,DET,80,19.1,28,51,20,35,0,,0,,
53,Travis Konecny,176.7,LWRW,PHI,80,19.1,27,43,51,43,2,,0,,
54,Sidney Crosby,174.9,C,PIT,75,18.9,29,45,32,36,0,,0,,
55,Aleksander Barkov,174.9,C,FLA,72,20,22,52,19,69,3,,0,,
56,Adam Fox,174,D,NYR,76,23.8,13,61,32,108,1,,0,,
57,Lane Hutson,173.4,D,MON,83,23.6,11,60,35,133,0,,0,,
58,Jesper Bratt,172.8,LWRW,NJ,84,18.8,24,54,14,42,2,,0,,
59,Andrei Svechnikov,172.8,LWRW,CAR,79,17.1,29,39,62,29,0,,0,,
60,John Tavares,172.2,C,TOR,79,18,33,34,33,41,0,,0,,
61,Mika Zibanejad,171.6,CRW,NYR,83,20.2,27,42,23,54,3,,0,,
62,Steven Stamkos,171,CRW,NAS,83,17.4,32,31,46,49,0,,0,,
63,Adam Fantilli,170.7,C,CBJ,83,19,31,34,30,59,0,,0,,
64,Alex Ovechkin,170.4,LWRW,WAS,82,17.1,36,33,21,22,0,,0,,
65,Timo Meier,167.7,LWRW,NJ,83,18.1,31,27,41,73,0,,0,,
66,Nick Schmaltz,167.7,CRW,UTA,83,19.2,27,41,20,59,1,,0,,
67,Matthew Knies,167.1,LWRW,TOR,83,18.9,28,35,42,55,1,,0,,
68,Connor Bedard,167.1,CRW,CHI,66,21.2,27,42,46,31,0,,0,,
69,Mathew Barzal,166.8,CRW,NYI,83,20.3,21,50,36,60,0,,0,,
70,Drake Batherson,166.5,LWRW,OTT,82,17.4,29,40,33,32,0,,0,,
71,Gabriel Vilardi,165,CRW,WPG,80,18.5,31,34,19,51,0,,0,,
72,Jakob Chychrun,164.7,D,WAS,79,23,21,34,55,114,0,,0,,
73,Kirill Marchenko,164.4,RW,CBJ,79,18.8,30,36,24,44,0,,0,,
74,Vincent Trocheck,163.5,C,UTA,80,20.2,22,37,50,75,3,,0,,
75,Quinton Byfield,163.2,C,LA,79,20.4,28,33,44,50,1,,0,,
76,Kevin Fiala,163.2,LW,LA,80,18.7,29,36,41,33,0,,0,,
77,Pavel Dorofeyev,162.9,LWRW,NYR,84,17.3,34,28,26,37,0,,0,,
78,Robert Thomas,162.9,C,STL,71,19.2,23,46,26,47,2,,0,,
79,Dylan Strome,162.9,C,WAS,81,17.8,23,45,33,55,0,,0,,
80,Bryan Rust,162.9,RW,PIT,70,19.4,29,31,21,67,2,,0,,
81,Bo Horvat,162.3,C,NYI,77,20.2,31,29,29,47,2,,0,,
82,Zach Hyman,161.1,LWRW,EDM,70,19.4,35,23,33,39,0,,0,,
83,Brock Nelson,160.5,C,COL,79,18.9,27,33,27,63,2,,0,,
84,Charlie McAvoy,159,D,BOS,73,24.2,11,45,59,131,1,,0,,
85,Jake Sanderson,158.7,D,OTT,78,24.8,15,42,16,143,2,,0,,
86,Miro Heiskanen,158.4,D,DAL,79,25,10,54,27,126,1,,0,,
87,Anton Frondell,157.8,C,CHI,80,18,30,31,21,50,0,,0,,
88,Mikhail Sergachev,157.8,D,UTA,80,24.4,10,50,39,132,1,,0,,
89,Rickard Rakell,157.5,CLWRW,PIT,80,18.3,29,28,17,73,1,,0,,
90,Josh Morrissey,157.5,D,WPG,81,24.6,12,51,33,117,0,,0,,
91,Mark Stone,157.2,RW,VEG,64,18.7,24,42,15,49,2,,0,,
92,Morgan Geekie,156.6,CLWRW,BOS,80,16.5,32,27,24,43,0,,0,,
93,Dylan Cozens,156,C,OTT,84,17.3,25,35,57,38,0,,0,,
94,Matthew Schaefer,156,D,NYI,83,23.9,20,33,36,114,1,,0,,
95,Tomas Hertl,155.7,CLW,VEG,78,16.9,28,31,22,62,0,,0,,
96,Sam Bennett,155.7,C,FLA,76,17.9,26,27,73,46,1,,0,,
97,Evgeni Malkin,155.4,CLWRW,PIT,77,17.2,22,42,53,35,0,,0,,
98,Michael Misa,155.4,C,SJ,78,16.8,29,31,20,53,0,,0,,
99,Brad Marchand,155.4,LWRW,FLA,71,17.5,27,31,51,37,1,,0,,
100,John Carlson,154.8,D,TB,76,23.3,12,48,29,122,1,,0,,
101,Dylan Holloway,153.9,CLW,STL,74,18.2,26,32,30,63,0,,0,,
102,Frank Nazar,153.9,C,CHI,83,18.3,25,30,36,67,2,,0,,
103,Jackson LaCombe,153.6,D,ANA,82,24.1,12,45,27,135,1,,0,,
104,Erik Karlsson,153.6,D,PIT,80,23.3,13,55,27,80,0,,0,,
105,Brayden Point,153.3,C,TB,71,18.2,29,35,12,34,0,,0,,
106,Ivan Demidov,153,RW,MON,83,16.1,24,42,31,29,0,,0,,
107,Jared McCann,152.4,CLW,SEA,79,16.5,27,34,21,42,1,,0,,
108,Nazem Kadri,151.8,CLW,COL,81,18.6,25,36,41,35,0,,0,,
109,Jimmy Snuggerud,151.8,RW,STL,76,17.5,29,30,19,47,0,,0,,
110,Roope Hintz,151.2,C,DAL,75,17.2,26,34,26,43,1,,0,,
111,Noah Dobson,151.2,D,MON,77,22.5,12,38,32,157,1,,0,,
112,Rasmus Andersson,150.9,D,VEG,83,23.3,13,28,61,167,1,,0,,
