Player,FPTS,AVG,ADP,GP,OFF,B2B,G,AST,PTS,SOG,PIM,HIT,BLK
Seth Jones (FLA - D),460,5.6,145.52,82,30,14,9,36,45,156,29,87,100
Vince Dunn (SEA - D),459,5.7,136.51,80,27,13,13,33,46,174,53,31,88
Luke Hughes (NJ - D),458,5.7,149.88,80,24,13,10,40,50,174,29,23,65
"Logan Stankoven (CAR - RW,C)",458,5.6,153.5,82,25,12,22,27,49,171,20,50,28
Philip Broberg (STL - D),457,5.6,153.43,82,21,12,8,34,42,112,19,41,110
"Matvei Michkov (PHI - RW,LW)",456,5.6,153.02,82,30,12,22,35,57,177,58,32,21
Jack Quinn (BUF - RW),456,5.6,226.43,82,27,14,22,29,51,195,17,51,24
Joshua Norris (BUF - C),456,5.8,Undrafted,79,27,14,21,30,51,134,47,53,51
"Tyler Seguin (DAL - RW,C)",453,6,Undrafted,76,28,13,21,26,47,147,15,48,19
Thomas Bordeleau (BUF - C),451,5.9,Undrafted,77,27,14,24,25,49,132,30,37,58
"Blake Coleman (MIN - LW,C)",450,5.5,191.64,82,24,10,21,21,42,184,51,162,56
Frank Nazar (CHI - C),449,5.5,222.26,81,31,12,21,31,52,179,33,47,54
Mason Marchment (SJ - LW),448,5.5,151.6,81,31,13,21,29,50,148,62,98,33
"Mikael Granlund (ANA - C,LW)",448,5.7,191.29,79,34,11,16,37,53,147,22,44,54
Rasmus Andersson (VGS - D),446,5.4,102.23,82,28,8,9,27,36,160,56,36,152
Jason Zucker (BUF - LW),446,5.6,Undrafted,80,27,14,22,29,51,149,38,75,26
"Pierre-Luc Dubois (WSH - C,LW)",445,5.5,Undrafted,81,33,14,17,33,50,124,64,65,45
Elias Lindholm (BOS - C),445,5.4,219.48,82,26,14,18,29,47,142,25,60,69
"Yegor Chinakhov (PIT - LW,RW)",444,5.4,150.8,82,29,15,24,25,49,180,11,59,40
Devon Toews (COL - D),444,5.6,146.79,80,34,10,6,32,38,137,26,37,95
Filip Hronek (VAN - D),444,5.6,146.65,80,28,11,8,42,50,131,37,123,100
Roman Kantserov (CHI - RW),442,5.4,Undrafted,82,31,12,23,27,50,160,44,46,26
MacKenzie Weegar (UTA - D),442,5.4,100.22,82,33,10,5,26,31,149,59,167,168
"Matt Duchene (DAL - C,RW)",442,5.4,140.65,82,28,13,20,35,55,141,13,33,29
Troy Terry (ANA - RW),441,7.1,Undrafted,62,34,11,17,36,53,155,14,4,19
Marco Rossi (VAN - C),438,5.3,216.11,82,28,11,21,35,56,137,26,64,45
Mattias Ekholm (EDM - D),437,5.3,142.05,82,31,11,5,29,34,134,31,65,120
Michael Misa (SJ - C),436,5.3,150.96,82,31,13,23,29,52,130,21,28,45
Brandon Montour (SEA - D),436,5.3,131.91,82,27,13,11,26,37,215,60,103,98
"Anthony Mantha (NJ - RW,LW)",436,5.3,157.59,82,24,13,22,24,46,150,43,61,39
"Connor McMichael (STL - LW,C)",435,5.4,154.48,80,21,12,18,27,45,155,36,43,43
"Brock Boeser (VAN - RW,LW)",434,5.4,144.85,81,28,11,26,27,53,172,12,59,31
"Jake Debrusk (VAN - LW,RW)",433,5.3,169.27,82,28,11,23,20,43,204,15,74,41
Darnell Nurse (SJ - D),433,5.3,139.27,82,31,13,7,19,26,170,86,151,164
Noah Hanifin (VGS - D),431,5.3,146.57,82,28,8,8,26,34,151,18,46,121
Simon Nemec (CGY - D),428,5.2,159.36,82,24,8,13,29,42,141,36,29,119
Esa Lindell (DAL - D),428,5.2,151.48,82,28,13,5,23,28,90,17,39,175
"Igor Chernyshov (SJ - LW,RW)",426,5.2,153.52,82,31,13,18,28,46,149,22,53,38
Travis Sanheim (PHI - D),423,5.2,148.32,82,30,12,7,28,35,112,30,58,154
Charlie Coyle (CBJ - C),422,5.1,200.17,82,23,13,18,31,49,137,18,101,57
Taylor Hall (CAR - LW),422,5.1,Undrafted,82,25,12,20,30,50,151,39,51,32
Mason McTavish (STL - C),421,5.1,150.94,82,21,12,20,28,48,168,50,89,34
Sean Walker (CAR - D),421,5.1,150.64,82,25,12,8,23,31,169,56,131,121
Ivar Stenberg (SJ - LW),420,5.3,149.59,80,31,13,18,31,49,154,22,39,35
"Matvei Gridin (CGY - RW,LW)",420,5.1,Undrafted,82,24,8,19,30,49,169,8,24,52
"Will Cuylle (NYR - LW,RW)",420,5.1,188.74,82,33,11,20,20,40,155,62,297,62
Mattias Samuelsson (BUF - D),420,5.2,141.27,81,27,14,7,23,30,99,32,140,145
"Tyler Bertuzzi (CHI - RW,LW)",420,5.1,147.92,82,31,12,28,22,50,170,43,60,29
Anders Lee (UTA - LW),420,5.1,209.37,82,33,10,22,17,39,192,43,102,37
Gustav Forsling (FLA - D),416,5.1,225.7,82,30,14,7,23,30,152,39,67,99
Jacob Trouba (SJ - D),415,5.1,137.1,81,31,13,6,20,26,147,54,152,173
